   r/D                     A0
  2.275158730158730E-002 -0.330598174246626     
  4.444444444444444E-002 -0.320534507768471     
  6.613730158730158E-002 -0.310848798878814     
  9.325396825396824E-002 -0.299775615619043     
  0.125793650793651      -0.288855488954301     
  0.158333333333333      -0.281569942290308     
  0.190873015873016      -0.279032637500937     
  0.223412698412698      -0.282357236460059     
  0.255952380952381      -0.292657401041544     
  0.288492063492064      -0.311046793119264     
  0.321031746031746      -0.338639074567089     
  0.352777777777778      -0.375491832953718     
  0.386111111111111      -0.425886953068542     
  0.418650793650794      -0.487769873869911     
  0.445767460317460      -0.549725206111473     
  0.467460317460317      -0.606550156030531     
  0.489153174603175      -0.670187397427054     
